track_name,artist_name,year,name,playcount,listeners,genres,artist_popularity,album_name,release_date,duration_ms,track_listeners,ranking_year,track_weight_in_artist,true_rank
Save Your Tears,The Weeknd,2020,The Weeknd,1095012174,5233527,"['rnb', 'electronic', 'dubstep', 'Canadian', 'prog-rnb']",1095012174,Hit Connection 2021.1,N/A,216000,1819150,2020,34.75954170103641,1
Telepatía,Kali Uchis,2020,Kali Uchis,306928312,3010615,"['rnb', 'Neo-Soul', 'soul', 'alternative rnb', 'pop']",306928312,Best in the World,N/A,160000,1611327,2020,53.52152301107913,2
The Adults Are Talking,The Strokes,2020,The Strokes,471895542,5649956,"['indie rock', 'indie', 'rock', 'alternative', 'alternative rock']",471895542,The New Abnormal,N/A,309000,1586456,2020,28.07908592562491,3
Heather,Conan Gray,2020,Conan Gray,244693650,2379267,"['pop', 'indie pop', 'indie', 'my top songs', 'yearning']",244693650,Now 35,N/A,198000,1491657,2020,62.69397255541308,4
Good Days,SZA,2020,SZA,575399022,3438127,"['rnb', 'soul', 'alternative rnb', 'electronic', 'Neo-Soul']",575399022,Hits 8 - as Grandes Músicas do Momento,N/A,278000,1480531,2020,43.06213819326628,5
Levitating (feat. DaBaby),Dua Lipa,2020,Dua Lipa,314803417,3224232,"['pop', 'synthpop', 'electropop', 'british', 'female vocalists']",314803417,"Now That's What I Call Music, Vol. 77",N/A,203000,1235800,2020,38.328507377880996,6
positions,Ariana Grande,2020,Ariana Grande,1079224655,4404806,"['pop', 'rnb', 'female vocalists', 'Ariana Grande', 'american']",1079224655,"Now That's What I Call Music, Vol. 77",N/A,172000,1222105,2020,27.744808738455223,7
Break My Heart,Dua Lipa,2020,Dua Lipa,314803417,3224232,"['pop', 'synthpop', 'electropop', 'british', 'female vocalists']",314803417,Just Hits,N/A,221000,1117829,2020,34.66962054839726,8
exile (feat. Bon Iver),Taylor Swift,2020,Taylor Swift,3608500687,5863513,"['country', 'pop', 'female vocalists', 'singer-songwriter', 'acoustic']",3608500687,folklore (deluxe version),N/A,285000,1058997,2020,18.06079393019168,9
Dynamite,BTS,2020,BTS,2961107080,2315918,"['k-pop', 'bts', 'Kpop', 'Korean', 'pop']",2961107080,Dynamite - EP,N/A,199000,1038358,2020,44.835697982398344,10
In Your Eyes,The Weeknd,2020,The Weeknd,1095012174,5233527,"['rnb', 'electronic', 'dubstep', 'Canadian', 'prog-rnb']",1095012174,NRJ Holiday Hits 2020,N/A,237000,1029357,2020,19.668514177914815,11
Physical,Dua Lipa,2020,Dua Lipa,314803417,3224232,"['pop', 'synthpop', 'electropop', 'british', 'female vocalists']",314803417,Physical,N/A,193000,993793,2020,30.822626907741128,12
Therefore I Am,Billie Eilish,2020,Billie Eilish,816132082,4157414,"['pop', 'indie pop', 'electropop', 'art pop', 'alternative']",816132082,"Now That's What I Call Music, Vol. 77",N/A,173000,983453,2020,23.65540213219083,13
Godzilla (feat. Juice WRLD),Eminem,2020,Eminem,561177490,7726026,"['rap', 'Hip-Hop', 'hip hop', 'Eminem', 'pop']",561177490,Discover More Hip Hop,N/A,210000,922815,2020,11.944238862255965,14
