track_name,artist_name,year,name,playcount,listeners,genres,artist_popularity,album_name,release_date,duration_ms,track_listeners,ranking_year,track_weight_in_artist,true_rank
CRUSH,ZEROBASEONE,2023,ZEROBASEONE,55829053,319434,"['k-pop', 'Kpop', 'Hanbin da lizii', 'Korean', 'boys planet']",55829053,MELTING POINT,N/A,169000.0,108256.0,2023,33.88994283639187,147
GET LIT,Stray Kids,2023,Stray Kids,477369907,1324476,"['k-pop', 'pop', 'Korean', 'Kpop', 'Hip-Hop']",477369907,5-STAR,N/A,171000.0,107717.0,2023,8.13280119836071,148
SLAY,Everglow,2023,Everglow,35914985,641505,"['k-pop', 'Korean', 'Kpop', 'pop', 'girl group']",35914985,ALL MY GIRLS,N/A,220000.0,107608.0,2023,16.774304175337683,149
Beautiful Liar,MONSTA X,2023,MONSTA X,65954162,558912,"['k-pop', 'Korean', 'Kpop', 'Hip-Hop', 'best of 2017']",65954162,REASON,N/A,183000.0,102978.0,2023,18.424725180350396,150
Blue Spring,TOMORROW X TOGETHER,2023,TOMORROW X TOGETHER,422061318,1201974,"['k-pop', 'Kpop', 'pop', 'Korean', 'txt']",422061318,The Name Chapter: FREEFALL,N/A,186000.0,102775.0,2023,8.550517731664744,151
Religiously,Bailey Zimmerman,2023,Bailey Zimmerman,8632835,279190,"['country', 'contemporary country', 'rock', 'singer-songwriter', 'USA']",8632835,Religiously. The Album.,N/A,178000.0,101180.0,2023,36.240553028403596,152
Drowning,WOODZ,2023,WOODZ,23927142,336344,"['k-pop', 'rock', 'Korean', 'rnb', 'k-rnb']",23927142,OO-LI,N/A,244000.0,100679.0,2023,29.933342054563184,153
Blind,ENHYPEN,2023,ENHYPEN,327809340,1103348,"['k-pop', 'Kpop', 'Korean', 'pop', 'boy group']",327809340,ORANGE BLOOD,N/A,198000.0,100564.0,2023,9.11444077480541,154
Deep Down,TOMORROW X TOGETHER,2023,TOMORROW X TOGETHER,422061318,1201974,"['k-pop', 'Kpop', 'pop', 'Korean', 'txt']",422061318,The Name Chapter: FREEFALL,N/A,163000.0,99635.0,2023,8.289280799751078,155
Orange Flower (You Complete Me),ENHYPEN,2023,ENHYPEN,327809340,1103348,"['k-pop', 'Kpop', 'Korean', 'pop', 'boy group']",327809340,ORANGE BLOOD,N/A,180000.0,98877.0,2023,8.961542505175156,156
Gimme Love,Sia,2023,Sia,161927127,4361667,"['female vocalists', 'indie', 'chillout', 'trip-hop', 'downtempo']",161927127,Gimme Love,N/A,177000.0,97270.0,2023,2.2301106434764506,157
Kill Shot,ITZY,2023,ITZY,134646433,982061,"['k-pop', 'Kpop', 'Korean', 'pop', 'girl group']",134646433,KILL MY DOUBT,N/A,136000.0,94887.0,2023,9.66202710422265,158
